distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain,stop_time,stop_ratio,avg_speed_implied_kmh,pace_min_per_km
102977.0,15212,476.6,241.6,14505,968.0,707,0.04647646594793584,25.55789038262668,2.3476116025908698
64046.5,10964,394.8,221.2,9097,768.0,1867,0.17028456767603065,25.345432560184676,2.367290432212013
38853.7,5271,68.4,-27.4,5271,162.0,0,0.0,26.536391576550937,2.2610459235542564
39075.8,6634,57.8,-28.2,4813,79.0,1821,0.27449502562556527,29.22769166839809,2.052847713077318
51232.3,7491,228.6,-10.2,7491,608.0,0,0.0,24.621049259110933,2.436939196561544
201682.0,35048,501.6,71.6,30966,1941.0,4082,0.11646884272997032,23.446851385390428,2.5589789867216712
100396.0,15037,297.2,60.8,13732,967.0,1305,0.08678592804415775,26.319953393533353,2.279639295058236
33474.1,4989,246.0,55.8,4182,255.0,807,0.16175586289837643,28.81558106169297,2.082206840512516
38725.9,5637,260.6,54.2,5621,446.0,16,0.0028383892141209863,24.80221312933642,2.4191389569598982
72983.4,11396,408.2,157.6,10789,780.0,607,0.053264303264303266,24.352603577718046,2.463802271018707
38743.3,6662,312.0,107.8,5502,430.0,1160,0.1741218853197238,25.35003271537623,2.3668608507793603
62466.6,9143,465.6,0.0,8326,538.0,817,0.08935797878158154,27.009339418688448,2.221453811583577
49682.9,12252,561.2,315.2,11327,644.0,925,0.07549787789748612,15.79045113445749,3.7997647748688848
37621.1,9797,427.0,320.2,8764,363.0,1033,0.10544044095131162,15.453669557279781,3.8825729887394753
32363.1,8747,415.6,0.0,7564,373.0,1183,0.1352463701840631,15.402850343733476,3.895382910372204
31072.6,7690,303.8,204.4,6101,247.0,1589,0.20663198959687906,18.334922143910834,3.2724436749204555
42232.6,12331,507.0,254.2,10730,460.0,1601,0.12983537425999514,14.169371854613233,4.234485523821251
45554.3,11648,527.0,212.0,9971,492.0,1677,0.14397321428571427,16.44724501053054,3.6480273724617285
