distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
102977.0,15212,476.6,241.6,14505,968.0
64046.5,10964,394.8,221.2,9097,768.0
38853.7,5271,68.4,-27.4,5271,162.0
39075.8,6634,57.8,-28.2,4813,79.0
51232.3,7491,228.6,-10.2,7491,608.0
201682.0,35048,501.6,71.6,30966,1941.0
100396.0,15037,297.2,60.8,13732,967.0
33474.1,4989,246.0,55.8,4182,255.0
38725.9,5637,260.6,54.2,5621,446.0
72983.4,11396,408.2,157.6,10789,780.0
38743.3,6662,312.0,107.8,5502,430.0
62466.6,9143,465.6,0.0,8326,538.0
49682.9,12252,561.2,315.2,11327,644.0
37621.1,9797,427.0,320.2,8764,363.0
32363.1,8747,415.6,0.0,7564,373.0
31072.6,7690,303.8,204.4,6101,247.0
42232.6,12331,507.0,254.2,10730,460.0
45554.3,11648,527.0,212.0,9971,492.0
27737.5,5007,145.8,53.2,5007,173.0
24972.5,4804,130.4,61.6,4804,64.0
27711.4,4881,172.8,84.6,4881,172.0
24976.8,5152,155.0,84.6,5122,53.0
27720.8,4831,240.4,156.4,4831,174.0
24982.7,4391,233.8,168.0,4391,49.0
27042.5,3989,259.0,110.4,3989,230.0
142631.0,23705,254.2,97.4,20280,601.0
27833.1,5710,175.6,89.0,5694,175.0
24978.6,4207,157.4,99.4,4180,56.0
27838.6,5530,152.2,64.6,5530,182.0
24996.4,4023,119.2,54.0,4023,52.0
27744.4,5220,133.2,46.6,5220,167.0
24986.9,4162,111.2,43.8,4162,45.0
27742.2,5053,166.2,83.6,5053,160.0
24997.0,4036,176.4,111.8,4011,47.0
17690.4,5506,295.2,176.2,4058,196.0
27787.4,5641,207.4,120.4,5319,166.0
24981.9,4503,177.6,113.8,4486,48.0
27781.8,4890,190.8,0.0,4890,167.0
24983.0,4179,171.2,104.4,4065,50.0
27769.1,4965,209.6,124.0,4965,165.0
24994.8,4149,209.4,144.4,4071,47.0
27747.4,5088,246.2,162.2,5088,163.0
25020.6,4029,227.4,167.6,4029,46.0
29938.0,5464,259.0,173.8,5059,149.0
24995.1,4215,280.2,215.2,4215,51.0
27768.0,5296,247.2,0.0,5296,169.0
25003.9,3970,168.4,111.8,3903,49.0
27770.8,5562,161.2,76.0,5562,159.0
24988.7,4009,126.2,64.2,4009,54.0
27744.1,5000,132.8,47.0,4912,167.0
25009.2,3974,124.8,58.8,3954,41.0
27725.9,5082,279.8,190.8,5082,165.0
25000.6,4023,246.2,186.0,3998,46.0
27717.6,5586,171.4,81.6,5586,180.0
24999.9,4068,108.4,47.6,4045,55.0
27744.9,5722,101.0,19.8,5722,166.0
24989.4,4075,82.6,15.4,4075,57.0
27798.7,4723,147.8,64.6,4707,169.0
25000.0,4130,166.8,90.6,4024,47.0
42320.5,7207,200.6,138.0,5638,115.0
27736.9,5176,161.2,75.6,5176,170.0
25016.5,3916,139.8,77.0,3827,44.0
31927.0,5987,175.8,94.6,5841,187.0
25012.4,3760,177.6,107.0,3597,43.0
27806.9,4819,222.8,139.2,4819,159.0
24963.3,3887,225.8,162.4,3887,43.0
27729.7,5111,266.0,179.2,5093,170.0
24981.8,4043,217.8,0.0,4043,45.0
27745.9,4919,228.8,144.6,4919,161.0
25013.7,3798,222.2,160.2,3774,40.0
45279.6,5156,187.8,121.0,5156,352.0
26873.4,4784,127.6,24.0,4784,172.0
25013.2,3965,91.4,29.6,3965,51.0
26810.3,4775,146.0,46.8,4775,168.0
24988.6,3921,102.6,39.0,3921,46.0
26768.0,4473,146.0,45.4,4473,168.0
24984.6,3951,98.0,0.0,3951,42.0
26772.6,4562,172.2,78.2,4562,166.0
25083.1,4000,142.0,83.0,3965,50.0
27759.1,5081,169.0,88.6,5062,154.0
25266.2,3934,152.8,88.0,3934,47.0
8600.1,1288,277.2,182.4,1288,31.0
9088.2,2115,283.8,191.6,2115,123.0
26639.8,3950,223.2,122.8,3950,175.0
24998.1,3672,175.6,113.6,3629,45.0
