param_poly__degree,param_ridge__alpha,rank_test_score,mae_mean,mae_std
3,10.0,1,619.6394332676593,20.945923197005627
3,1.0,2,620.5418500110032,21.739761938163998
3,0.1,3,620.6855821791107,21.837591733470788
3,0.01,4,620.7005536118471,21.84745131883644
3,0.001,5,620.7020539390312,21.848440152422796
3,0.0001,6,620.7022040036733,21.848539064622305
3,100.0,7,634.5627327448179,20.04285978680269
2,0.0001,8,641.1051498419231,21.550552114177876
2,0.001,9,641.1051963671855,21.55053716561972
2,0.01,10,641.1056616180014,21.55038768393401
2,0.1,11,641.1103229991553,21.54889505463553
2,1.0,12,641.1577135646621,21.533530915962732
2,10.0,13,641.7163451959934,21.37572980042561
2,100.0,14,652.8522665238972,19.60795860577855
2,1000.0,15,855.7890620670202,20.386557700459345
3,1000.0,16,869.2643796724196,19.504756368238038
3,10000.0,17,1583.9852818201625,30.540684363815267
2,10000.0,18,1660.9290450613644,24.945935195323433
