param_poly__degree,param_ridge__alpha,rank_test_score,mae_mean,mae_std
2,0.0001,1,0.00029133577915589815,1.0127268160554014e-05
3,0.0001,2,0.00045834297508288443,1.7979132710062593e-05
2,0.001,3,0.00291333644114683,0.000101271950222643
3,0.001,4,0.004583316261051306,0.00017977808692657302
2,0.01,5,0.029131195645014256,0.0010126071210852954
3,0.01,6,0.045821846116308476,0.0017964913833924798
2,0.1,7,0.29109523632721085,0.010114805672714241
3,0.1,8,0.4570928836090902,0.01783689700467443
2,1.0,9,2.8894815740528275,0.1000329996897933
3,1.0,10,4.464267996903156,0.16669232516169585
2,10.0,11,26.927861002821764,0.9001506749048506
3,10.0,12,37.24372582153897,1.0009422000530621
2,100.0,13,164.8231194914134,4.452692654765428
3,100.0,14,167.68949194165666,2.0877657856921594
3,1000.0,15,478.02194145521844,6.262472128296845
2,1000.0,16,491.141514920595,8.707091828337719
3,10000.0,17,1324.5697127704545,19.666299767304974
2,10000.0,18,1403.7144994809676,11.794677139735292
